,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
0,1,290,96.0,2,5.0,5.0,7.42,1,0.48
1,2,322,110.0,2,2.5,3.0,9.2,0,0.92
2,3,296,98.0,5,1.5,4.0,9.08,0,0.36
3,4,291,96.0,1,3.5,1.0,9.0,1,0.97
4,5,320,109.0,1,4.0,1.5,8.93,0,0.49
5,6,298,99.0,2,2.0,4.0,6.77,0,0.39
6,7,333,115.0,1,5.0,2.0,8.76,1,0.5
7,8,310,104.0,2,1.0,1.0,8.47,1,0.67
8,9,300,100.0,1,4.0,5.0,7.15,1,0.77
9,10,328,112.0,2,4.5,4.0,7.31,0,0.79
10,11,301,100.0,1,3.5,1.0,9.42,0,0.72
11,12,314,106.0,5,4.5,5.0,9.38,0,0.79
12,13,327,112.0,1,4.0,1.5,6.98,1,0.48
13,14,325,111.0,3,1.5,5.0,8.01,1,0.72
14,15,316,107.0,3,2.0,4.5,9.83,0,0.38
15,16,331,114.0,2,4.0,1.5,8.2,1,0.63
16,17,339,117.0,5,1.0,3.0,9.98,0,0.6
17,18,317,107.0,3,2.5,4.0,8.69,1,0.42
18,19,318,108.0,3,2.0,1.5,9.62,0,0.78
19,20,324,111.0,2,2.5,4.0,6.33,0,0.97

