Song Name,,Happy-Sad(+ve happy),Romance,Energy(fast-slow),,Popularity(youtube views-in millions),,Artist,,genre
,,,,,,,,,,
Memories,,-5,1,1,,469,,Maroon 5,,pop
Closer,,7,9,3,,2400,,Chainsmokers,,pop
Rap God,,4,0,10,,1040,,EMINEM,,rap
Steal My Girl,,7,8,6,,327,,One Direction,,pop
Love Me Like You Do,,6,8,7,,2119,,Ellie Goulding,,pop
2U,,7,7,7,,438,,JB,,pop
Lose Yourself,,2,0,7,,848,,EMINEM,,rap
Summer of ’69,,8,2,8,,112,,Bryan Adams,,hard rock
Hey Jude,,2,7,3,,198,,Beatles,,soft rock
Paper Cut,,0,0,9,,157,,Linkin Park,,rap
The Nights,,7,2,8,,542,,Avicii,,EDM
Photograph,,-4,8,2,,937,,Ed Sheeran,,pop
You Belong With Me,,4,7,7,,1044,,Taylor Swift,,pop
Taki Taki,,8,6,6,,1769,,"DJ Snake,major lazer",,pop
What Do You Mean,,4,6,3,,2083,,JB,,pop
Shape Of You,,7,9,6,,4739,,Ed Sheeran,,pop
Love the way you lie,,-8,2,7,,1977,,"EMINEM, Rihana",,rap
Cheap Thrills,,10,4,5,,1474,,"Sean Paul, SIA",,pop
Thinking Out Loud,,1,10,2,,2968,,Ed Sheeran,,pop
Legendary,,5,0,4,,20,,Welshly Arms,,pop rock
Electricity,,5,2,7,,121,,Dua Lipa,Silk City,pop
Careless Whisper,,-6,10,6,,591,,George Michael,,pop
Astronomia,,5,1,10,,56,,Vicetone,Tone Igy,EDM
Sweet Child O’ Mine,,1,7,7,,1073,,Guns N' Roses,,hard rock
Baby,,5,8,5,,2224,,JB,,pop
Sweet Home Alabama,,3,6,7,,100,,Lynyrd Skyrnd,,country
Not Afraid,,2,0,9,,1388,,EMINEM,,rap
Low,,8,3,9,,52,,Flo Rida,,hip-hop
Hymm For The Weekend,,7,5,8,,1275,,Coldplay,Beyonce,rock
Zombie,,-5,2,1,,1001,,The cranberries,,rock
All The Stars,,-6,0,7,,251,,Kendrick Lamar,sza,rap
Hotline Bling,,-7,4,1,,1611,,Drake,,pop
All Of Me,,6,7,0,,1654,,John Legend,,pop
Star Boy,,-3,0,4,,1677,,The Weeknd,Daft Punk,pop
Zedd,,-1,7,8,,264,,Clarity,,hip hop
Believer,,8,0,5,,1443,,Imagine Dragons,,rock
On My Way,,6,0,8,,284,,Alan Walker,,EDM
Perfect,,9,10,2,,2371,,Ed Sheeran,,pop
Faded,,-6,7,7,,2723,,Alan Walker,,EDM
Lean On,,8,7,9,,2789,,DJ snake,Major Lazer,EDM
I Like Me Better,,8,9,6,,320,,lauv,,pop
Running After You,,8,9,3,,10,,Matthew Mole,,pop
I Believe In You,,8,8,4,,33,,Michael Buble,,pop
You are Loved,,8,9,4,,5.8,,Matthew Mole,,pop
Havana,,8,6,6,,884,,camila cabello,,pop
Payphone,,5,7,8,,569,,Maroon 5,Wiz Khalifa,pop
Hips Don't Lie,,5,5,6,,771,,Shakira,,pop
Can We Kiss Forever?,,-2,3,4,,156,,Adriana,Kina,hip hop
Dancin,,5,5,8,,45,,Aaron smith,,electopop
Cradles,,-7,0,4,,131,,Sub urban,,rock
Dance Monkey,,2,6,5,,922,,tones and i,,electropop
La La La,,3,0,5,,1100,,Shakira,,pop
Elastic Heart,,4,2,6,,1080,,SIA,,pop
Faith,,-4,0,7,,10,,The Weeknd,,pop
Physical,,5,4,8,,95,,Dua Lipa,,pop rock
We Don't Talk Anymore,,-2,6,7,,2427,,Charlie Puth,Selena Gomez,pop
Youth,,2,0,3,,33,,Shawn Mendes,Khalid,pop
Shallow,,1,6,4,,835,,Lady Gaga,Bradley Cooper,rock
Someone You Loved,,-3,3,3,,148,,Lewis Capaldi,,pop
Girls Like You,,4,6,5,,2645,,Maroon 5,Cardi B,pop rock
